type,phase,office,service,multiplier
FO_alpha,0,A1,P,-0.0
FO_alpha,0,A1,S,-0.0
FO_alpha,0,A1,O,-0.0
FO_alpha,0,A1,T,-0.0
FO_alpha,0,A1,M,-0.0
FO_alpha,0,A2,P,-0.0
FO_alpha,0,A2,S,-0.0
FO_alpha,0,A2,O,-0.0
FO_alpha,0,A2,T,-0.0
FO_alpha,0,A2,M,-0.0
FO_alpha,0,B1,P,-0.0
FO_alpha,0,B1,S,-0.0
FO_alpha,0,B1,O,-0.0
FO_alpha,0,B1,T,-0.0
FO_alpha,0,B1,M,-101.0
FO_alpha,0,B2,P,-0.0
FO_alpha,0,B2,S,-0.0
FO_alpha,0,B2,O,-0.0
FO_alpha,0,B2,T,-0.0
FO_alpha,0,B2,M,-0.0
FO_alpha,0,B3,P,-0.0
FO_alpha,0,B3,S,-0.0
FO_alpha,0,B3,O,-0.0
FO_alpha,0,B3,T,-3.0
FO_alpha,0,B3,M,-0.0
FO_alpha,0,C1,P,-0.0
FO_alpha,0,C1,S,1.0
FO_alpha,0,C1,O,-0.0
FO_alpha,0,C1,T,-3.0
FO_alpha,0,C1,M,-0.0
FO_alpha,0,C2,P,-0.0
FO_alpha,0,C2,S,-0.0
FO_alpha,0,C2,O,-0.0
FO_alpha,0,C2,T,-0.0
FO_alpha,0,C2,M,-0.0
FO_alpha,0,D1,P,-0.0
FO_alpha,0,D1,S,-0.0
FO_alpha,0,D1,O,-0.0
FO_alpha,0,D1,T,-3.0
FO_alpha,0,D1,M,-0.0
FO_alpha,0,D2,P,-0.0
FO_alpha,0,D2,S,-0.0
FO_alpha,0,D2,O,-0.0
FO_alpha,0,D2,T,-0.0
FO_alpha,0,D2,M,-101.0
FO_alpha,0,D3,P,-0.0
FO_alpha,0,D3,S,-0.0
FO_alpha,0,D3,O,-0.0
FO_alpha,0,D3,T,-0.0
FO_alpha,0,D3,M,-101.0
FO_alpha,0,E1,P,-0.0
FO_alpha,0,E1,S,-0.0
FO_alpha,0,E1,O,1.0
FO_alpha,0,E1,T,-0.0
FO_alpha,0,E1,M,-0.0
FO_alpha,0,E2,P,-0.0
FO_alpha,0,E2,S,-0.0
FO_alpha,0,E2,O,1.0
FO_alpha,0,E2,T,-0.0
FO_alpha,0,E2,M,-0.0
FO_alpha,1,A1,P,-0.0
FO_alpha,1,A1,S,-0.0
FO_alpha,1,A1,O,-0.0
FO_alpha,1,A1,T,-0.0
FO_alpha,1,A1,M,-0.0
FO_alpha,1,A2,P,-0.0
FO_alpha,1,A2,S,-0.0
FO_alpha,1,A2,O,-0.0
FO_alpha,1,A2,T,-0.0
FO_alpha,1,A2,M,-0.0
FO_alpha,1,B1,P,-0.0
FO_alpha,1,B1,S,-0.0
FO_alpha,1,B1,O,-0.0
FO_alpha,1,B1,T,-0.0
FO_alpha,1,B1,M,1.0
FO_alpha,1,B2,P,-0.0
FO_alpha,1,B2,S,-0.0
FO_alpha,1,B2,O,-0.0
FO_alpha,1,B2,T,-0.0
FO_alpha,1,B2,M,1.0
FO_alpha,1,B3,P,-0.0
FO_alpha,1,B3,S,-0.0
FO_alpha,1,B3,O,-0.0
FO_alpha,1,B3,T,-0.0
