type,phase,office,service,multiplier
CAP_gamma,0,A1,,0.0
CAP_gamma,0,A2,,0.0
CAP_gamma,0,B1,,0.0
CAP_gamma,0,B2,,0.0
CAP_gamma,0,B3,,0.0
CAP_gamma,0,C1,,0.0
CAP_gamma,0,C2,,0.0
CAP_gamma,0,D1,,0.0
CAP_gamma,0,D2,,0.0
CAP_gamma,0,D3,,0.0
CAP_gamma,0,E1,,0.0
CAP_gamma,0,E2,,0.0
CAP_gamma,1,A1,,0.0
CAP_gamma,1,A2,,0.0
CAP_gamma,1,B1,,0.0
CAP_gamma,1,B2,,0.0
CAP_gamma,1,B3,,0.0
CAP_gamma,1,C1,,0.0
CAP_gamma,1,C2,,0.0
CAP_gamma,1,D1,,0.0
CAP_gamma,1,D2,,1.0
CAP_gamma,1,D3,,1.0
CAP_gamma,1,E1,,0.0
CAP_gamma,1,E2,,0.0
CAP_gamma,2,A1,,0.0
CAP_gamma,2,A2,,0.0
CAP_gamma,2,B1,,0.0
CAP_gamma,2,B2,,0.0
CAP_gamma,2,B3,,0.0
CAP_gamma,2,C1,,0.0
CAP_gamma,2,C2,,0.0
CAP_gamma,2,D1,,0.0
CAP_gamma,2,D2,,0.0
CAP_gamma,2,D3,,0.0
CAP_gamma,2,E1,,0.0
CAP_gamma,2,E2,,0.0
CAP_gamma,3,A1,,0.0
CAP_gamma,3,A2,,0.0
CAP_gamma,3,B1,,0.0
CAP_gamma,3,B2,,0.0
CAP_gamma,3,B3,,0.0
CAP_gamma,3,C1,,0.0
CAP_gamma,3,C2,,0.0
CAP_gamma,3,D1,,0.0
CAP_gamma,3,D2,,0.0
CAP_gamma,3,D3,,0.0
CAP_gamma,3,E1,,0.0
CAP_gamma,3,E2,,0.0
CAP_gamma,4,A1,,0.0
CAP_gamma,4,A2,,0.0
CAP_gamma,4,B1,,0.0
CAP_gamma,4,B2,,0.0
CAP_gamma,4,B3,,0.0
CAP_gamma,4,C1,,0.0
CAP_gamma,4,C2,,0.0
CAP_gamma,4,D1,,0.0
CAP_gamma,4,D2,,0.0
CAP_gamma,4,D3,,0.0
CAP_gamma,4,E1,,0.0
CAP_gamma,4,E2,,0.0
CAP_gamma,5,A1,,0.0
CAP_gamma,5,A2,,0.0
CAP_gamma,5,B1,,0.0
CAP_gamma,5,B2,,0.0
CAP_gamma,5,B3,,0.0
CAP_gamma,5,C1,,0.0
CAP_gamma,5,C2,,0.0
CAP_gamma,5,D1,,0.0
CAP_gamma,5,D2,,0.0
CAP_gamma,5,D3,,0.0
CAP_gamma,5,E1,,0.0
CAP_gamma,5,E2,,0.0
ABS_plus_eta,0,A1,P,0.0
ABS_minus_zeta,0,A1,P,100.0
ABS_plus_eta,0,A1,S,100.0
ABS_minus_zeta,0,A1,S,0.0
ABS_plus_eta,0,A1,O,100.0
ABS_minus_zeta,0,A1,O,0.0
ABS_plus_eta,0,A1,T,100.0
ABS_minus_zeta,0,A1,T,0.0
ABS_plus_eta,0,A1,M,100.0
ABS_minus_zeta,0,A1,M,0.0
ABS_plus_eta,0,A2,P,0.0
ABS_minus_zeta,0,A2,P,100.0
ABS_plus_eta,0,A2,S,100.0
ABS_minus_zeta,0,A2,S,0.0
ABS_plus_eta,0,A2,O,100.0
ABS_minus_zeta,0,A2,O,0.0
ABS_plus_eta,0,A2,T,100.0
ABS_minus_zeta,0,A2,T,0.0
ABS_plus_eta,0,A2,M,100.0
ABS_minus_zeta,0,A2,M,0.0
ABS_plus_eta,0,B1,P,100.0
ABS_minus_zeta,0,B1,P,0.0
ABS_plus_eta,0,B1,S,100.0
ABS_minus_zeta,0,B1,S,0.0
ABS_plus_eta,0,B1,O,100.0
ABS_minus_zeta,0,B1,O,0.0
ABS_plus_eta,0,B1,T,100.0
ABS_minus_zeta,0,B1,T,0.0
ABS_plus_eta,0,B1,M,0.0
ABS_minus_zeta,0,B1,M,0.0
ABS_plus_eta,0,B2,P,100.0
ABS_minus_zeta,0,B2,P,0.0
ABS_plus_eta,0,B2,S,100.0
ABS_minus_zeta,0,B2,S,0.0
ABS_plus_eta,0,B2,O,100.0
ABS_minus_zeta,0,B2,O,0.0
ABS_plus_eta,0,B2,T,100.0
ABS_minus_zeta,0,B2,T,0.0
ABS_plus_eta,0,B2,M,0.0
ABS_minus_zeta,0,B2,M,100.0
ABS_plus_eta,0,B3,P,100.0
ABS_minus_zeta,0,B3,P,0.0
ABS_plus_eta,0,B3,S,100.0
ABS_minus_zeta,0,B3,S,0.0
ABS_plus_eta,0,B3,O,100.0
ABS_minus_zeta,0,B3,O,0.0
ABS_plus_eta,0,B3,T,100.0
ABS_minus_zeta,0,B3,T,0.0
ABS_plus_eta,0,B3,M,0.0
ABS_minus_zeta,0,B3,M,100.0
ABS_plus_eta,0,C1,P,100.0
ABS_minus_zeta,0,C1,P,0.0
ABS_plus_eta,0,C1,S,0.0
ABS_minus_zeta,0,C1,S,100.0
ABS_plus_eta,0,C1,O,100.0
ABS_minus_zeta,0,C1,O,0.0
ABS_plus_eta,0,C1,T,100.0
ABS_minus_zeta,0,C1,T,0.0
ABS_plus_eta,0,C1,M,100.0
ABS_minus_zeta,0,C1,M,0.0
ABS_plus_eta,0,C2,P,100.0
ABS_minus_zeta,0,C2,P,0.0
ABS_plus_eta,0,C2,S,0.0
ABS_minus_zeta,0,C2,S,100.0
ABS_plus_eta,0,C2,O,100.0
ABS_minus_zeta,0,C2,O,0.0
ABS_plus_eta,0,C2,T,100.0
ABS_minus_zeta,0,C2,T,0.0
ABS_plus_eta,0,C2,M,100.0
ABS_minus_zeta,0,C2,M,0.0
ABS_plus_eta,0,D1,P,100.0
ABS_minus_zeta,0,D1,P,0.0
ABS_plus_eta,0,D1,S,100.0
ABS_minus_zeta,0,D1,S,0.0
ABS_plus_eta,0,D1,O,100.0
ABS_minus_zeta,0,D1,O,0.0
ABS_plus_eta,0,D1,T,0.0
ABS_minus_zeta,0,D1,T,0.0
ABS_plus_eta,0,D1,M,100.0
ABS_minus_zeta,0,D1,M,0.0
ABS_plus_eta,0,D2,P,100.0
ABS_minus_zeta,0,D2,P,0.0
ABS_plus_eta,0,D2,S,100.0
ABS_minus_zeta,0,D2,S,0.0
ABS_plus_eta,0,D2,O,100.0
ABS_minus_zeta,0,D2,O,0.0
ABS_plus_eta,0,D2,T,0.0
ABS_minus_zeta,0,D2,T,100.0
ABS_plus_eta,0,D2,M,100.0
ABS_minus_zeta,0,D2,M,0.0
ABS_plus_eta,0,D3,P,100.0
ABS_minus_zeta,0,D3,P,0.0
ABS_plus_eta,0,D3,S,100.0
ABS_minus_zeta,0,D3,S,0.0
ABS_plus_eta,0,D3,O,100.0
ABS_minus_zeta,0,D3,O,0.0
ABS_plus_eta,0,D3,T,0.0
ABS_minus_zeta,0,D3,T,100.0
ABS_plus_eta,0,D3,M,100.0
ABS_minus_zeta,0,D3,M,0.0
ABS_plus_eta,0,E1,P,100.0
ABS_minus_zeta,0,E1,P,0.0
ABS_plus_eta,0,E1,S,100.0
ABS_minus_zeta,0,E1,S,0.0
ABS_plus_eta,0,E1,O,0.0
ABS_minus_zeta,0,E1,O,100.0
ABS_plus_eta,0,E1,T,100.0
ABS_minus_zeta,0,E1,T,0.0
ABS_plus_eta,0,E1,M,100.0
ABS_minus_zeta,0,E1,M,0.0
ABS_plus_eta,0,E2,P,100.0
ABS_minus_zeta,0,E2,P,0.0
ABS_plus_eta,0,E2,S,100.0
ABS_minus_zeta,0,E2,S,0.0
ABS_plus_eta,0,E2,O,0.0
ABS_minus_zeta,0,E2,O,100.0
ABS_plus_eta,0,E2,T,100.0
ABS_minus_zeta,0,E2,T,0.0
ABS_plus_eta,0,E2,M,100.0
ABS_minus_zeta,0,E2,M,0.0
ABS_plus_eta,1,A1,P,0.0
ABS_minus_zeta,1,A1,P,0.0
ABS_plus_eta,1,A1,S,100.0
ABS_minus_zeta,1,A1,S,0.0
ABS_plus_eta,1,A1,O,100.0
ABS_minus_zeta,1,A1,O,0.0
ABS_plus_eta,1,A1,T,100.0
ABS_minus_zeta,1,A1,T,0.0
ABS_plus_eta,1,A1,M,100.0
ABS_minus_zeta,1,A1,M,0.0
ABS_plus_eta,1,A2,P,0.0
ABS_minus_zeta,1,A2,P,0.0
ABS_plus_eta,1,A2,S,100.0
ABS_minus_zeta,1,A2,S,0.0
ABS_plus_eta,1,A2,O,100.0
ABS_minus_zeta,1,A2,O,0.0
ABS_plus_eta,1,A2,T,100.0
ABS_minus_zeta,1,A2,T,0.0
ABS_plus_eta,1,A2,M,100.0
ABS_minus_zeta,1,A2,M,0.0
ABS_plus_eta,1,B1,P,100.0
ABS_minus_zeta,1,B1,P,0.0
ABS_plus_eta,1,B1,S,100.0
ABS_minus_zeta,1,B1,S,0.0
ABS_plus_eta,1,B1,O,100.0
ABS_minus_zeta,1,B1,O,0.0
ABS_plus_eta,1,B1,T,100.0
ABS_minus_zeta,1,B1,T,0.0
ABS_plus_eta,1,B1,M,0.0
ABS_minus_zeta,1,B1,M,100.0
ABS_plus_eta,1,B2,P,100.0
ABS_minus_zeta,1,B2,P,0.0
ABS_plus_eta,1,B2,S,100.0
ABS_minus_zeta,1,B2,S,0.0
ABS_plus_eta,1,B2,O,100.0
ABS_minus_zeta,1,B2,O,0.0
ABS_plus_eta,1,B2,T,100.0
ABS_minus_zeta,1,B2,T,0.0
ABS_plus_eta,1,B2,M,0.0
ABS_minus_zeta,1,B2,M,100.0
ABS_plus_eta,1,B3,P,100.0
ABS_minus_zeta,1,B3,P,0.0
ABS_plus_eta,1,B3,S,100.0
ABS_minus_zeta,1,B3,S,0.0
ABS_plus_eta,1,B3,O,100.0
ABS_minus_zeta,1,B3,O,0.0
ABS_plus_eta,1,B3,T,100.0
ABS_minus_zeta,1,B3,T,0.0
ABS_plus_eta,1,B3,M,0.0
ABS_minus_zeta,1,B3,M,100.0
ABS_plus_eta,1,C1,P,100.0
ABS_minus_zeta,1,C1,P,0.0
ABS_plus_eta,1,C1,S,0.0
ABS_minus_zeta,1,C1,S,2.0
ABS_plus_eta,1,C1,O,100.0
ABS_minus_zeta,1,C1,O,0.0
ABS_plus_eta,1,C1,T,100.0
ABS_minus_zeta,1,C1,T,0.0
ABS_plus_eta,1,C1,M,100.0
ABS_minus_zeta,1,C1,M,0.0
ABS_plus_eta,1,C2,P,100.0
ABS_minus_zeta,1,C2,P,0.0
ABS_plus_eta,1,C2,S,0.0
ABS_minus_zeta,1,C2,S,1.0
ABS_plus_eta,1,C2,O,100.0
ABS_minus_zeta,1,C2,O,0.0
ABS_plus_eta,1,C2,T,100.0
ABS_minus_zeta,1,C2,T,0.0
ABS_plus_eta,1,C2,M,100.0
ABS_minus_zeta,1,C2,M,0.0
