constraint,phase,office,dual,slack
capacity,0,A1,-0.0,0.0
capacity,0,A2,-0.0,0.0
capacity,0,B1,-0.0,0.0
capacity,0,B2,-0.0,0.0
capacity,0,B3,-0.0,0.0
capacity,0,C1,-0.0,0.0
capacity,0,C2,-0.0,0.0
capacity,0,D1,-0.0,1.0
capacity,0,D2,-0.0,1.0
capacity,0,D3,-0.0,0.0
capacity,0,E1,-0.0,2.0
capacity,0,E2,-0.0,2.0
capacity,1,A1,-1.0,0.0
capacity,1,A2,-1.0,0.0
capacity,1,B1,-0.0,2.0
capacity,1,B2,-0.0,2.0
capacity,1,B3,-0.0,2.0
capacity,1,C1,-1.0,0.0
capacity,1,C2,-1.0,0.0
capacity,1,D1,-0.0,0.0
capacity,1,D2,-0.0,0.0
capacity,1,D3,-0.0,0.0
capacity,1,E1,-1.0,0.0
capacity,1,E2,-1.0,0.0
capacity,2,A1,-0.0,0.0
capacity,2,A2,-0.0,0.0
capacity,2,B1,-0.0,0.0
capacity,2,B2,-0.0,0.0
capacity,2,B3,-0.0,0.0
capacity,2,C1,-0.0,0.0
capacity,2,C2,-0.0,0.0
capacity,2,D1,-0.0,2.0
capacity,2,D2,-0.0,2.0
capacity,2,D3,-0.0,2.0
capacity,2,E1,-0.0,0.0
capacity,2,E2,-0.0,0.0
capacity,3,A1,-0.0,0.0
capacity,3,A2,-0.0,0.5
capacity,3,B1,-0.0,0.0
capacity,3,B2,-0.0,0.0
capacity,3,B3,-0.0,0.5
capacity,3,C1,-0.0,2.0
capacity,3,C2,-0.0,2.0
capacity,3,D1,-0.0,1.0
capacity,3,D2,-0.0,0.0
capacity,3,D3,-0.0,0.0
capacity,3,E1,-0.0,0.0
capacity,3,E2,-0.0,0.0
capacity,4,A1,-0.0,2.0
capacity,4,A2,-0.0,2.0
capacity,4,B1,-0.0,0.0
capacity,4,B2,-0.0,0.0
capacity,4,B3,-0.0,0.5
capacity,4,C1,-0.0,0.0
capacity,4,C2,-0.0,0.0
capacity,4,D1,-0.0,1.0
capacity,4,D2,-0.0,0.0
capacity,4,D3,-0.0,0.5
capacity,4,E1,-0.0,0.0
capacity,4,E2,-0.0,0.0
capacity,5,A1,-0.0,0.0
capacity,5,A2,-0.0,0.0
capacity,5,B1,-0.0,1.0
capacity,5,B2,-0.0,0.0
capacity,5,B3,-0.0,1.0
capacity,5,C1,-0.0,0.0
capacity,5,C2,-0.0,0.0
capacity,5,D1,-0.0,1.0
capacity,5,D2,-0.0,0.0
capacity,5,D3,-0.0,1.0
capacity,5,E1,-0.0,1.0
capacity,5,E2,-0.0,1.0
