transition,from,to,service,moved,cost
0->1,A1,A1,P,2.0,0.0
0->1,A2,A2,P,2.0,0.0
0->1,B1,D1,M,1.0,1.0
0->1,B1,E1,O,1.0,1.0
0->1,B2,D2,S,1.0,1.0
0->1,B2,E1,S,1.0,1.0
0->1,B3,E2,O,1.0,1.0
0->1,B3,E2,T,1.0,1.0
0->1,C1,C1,T,2.0,0.0
0->1,C2,C2,S,2.0,0.0
0->1,D1,D1,T,1.0,0.0
0->1,D2,D2,M,1.0,0.0
0->1,D3,D3,M,2.0,0.0
1->2,A1,A1,P,2.0,0.0
1->2,A2,A2,P,2.0,0.0
1->2,C1,C1,T,2.0,0.0
1->2,C2,B3,S,0.5,1.0
1->2,C2,C2,S,1.5,0.0
1->2,D1,B1,M,1.0,1.0
1->2,D1,B3,T,0.5,1.0
1->2,D1,C2,T,0.5,1.0
1->2,D2,B1,S,1.0,1.0
1->2,D2,B2,M,1.0,1.0
1->2,D3,B2,M,1.0,1.0
1->2,D3,B3,M,1.0,1.0
1->2,E1,E1,S,1.0,0.0
1->2,E1,E1,O,1.0,0.0
1->2,E2,E2,O,1.0,0.0
1->2,E2,E2,T,1.0,0.0
2->3,A1,A1,P,2.0,0.0
2->3,A2,A2,P,1.5,0.0
2->3,A2,D3,P,0.5,1.0
2->3,B1,B1,S,1.0,0.0
2->3,B1,B1,M,1.0,0.0
2->3,B2,B2,M,2.0,0.0
2->3,B3,B3,S,0.5,0.0
2->3,B3,B3,M,1.0,0.0
2->3,B3,D1,T,0.5,1.0
2->3,C1,D2,T,1.0,1.0
2->3,C1,D3,T,1.0,1.0
2->3,C2,D2,S,0.5,1.0
2->3,C2,D2,T,0.5,1.0
2->3,C2,D3,S,0.5,1.0
2->3,C2,E2,S,0.5,1.0
2->3,E1,E1,S,1.0,0.0
2->3,E1,E1,O,1.0,0.0
2->3,E2,D1,T,0.5,1.0
2->3,E2,E2,O,1.0,0.0
2->3,E2,E2,T,0.5,0.0
3->4,A1,C1,P,0.5,1.0
3->4,A1,C2,P,1.5,1.0
3->4,A2,B1,P,1.0,1.0
3->4,A2,D2,P,0.5,1.0
3->4,B1,B1,M,1.0,0.0
3->4,B1,C1,S,1.0,1.0
3->4,B2,B2,M,2.0,0.0
3->4,B3,B3,S,0.5,0.0
3->4,B3,B3,M,1.0,0.0
3->4,D1,D1,T,1.0,0.0
3->4,D2,C1,S,0.5,1.0
3->4,D2,D2,T,1.5,0.0
3->4,D3,C2,S,0.5,1.0
3->4,D3,D3,P,0.5,0.0
3->4,D3,D3,T,1.0,0.0
3->4,E1,E1,S,1.0,0.0
3->4,E1,E1,O,1.0,0.0
3->4,E2,E2,S,0.5,0.0
3->4,E2,E2,O,1.0,0.0
3->4,E2,E2,T,0.5,0.0
4->5,B1,A2,P,1.0,1.0
4->5,B1,B1,M,1.0,0.0
4->5,B2,B2,M,2.0,0.0
4->5,B3,B3,M,1.0,0.0
4->5,B3,C1,S,0.5,1.0
4->5,C1,A2,P,0.5,1.0
4->5,C1,C1,S,1.5,0.0
4->5,C2,A1,P,1.5,1.0
4->5,C2,C2,S,0.5,0.0
4->5,D1,D1,T,1.0,0.0
4->5,D2,A2,P,0.5,1.0
4->5,D2,D2,T,1.5,0.0
4->5,D3,A1,P,0.5,1.0
4->5,D3,D3,T,1.0,0.0
4->5,E1,C2,S,1.0,1.0
4->5,E1,E1,O,1.0,0.0
4->5,E2,C2,S,0.5,1.0
4->5,E2,D2,T,0.5,1.0
4->5,E2,E2,O,1.0,0.0
