phase,office,pres_indicator,stud_indicator,P_count,S_count
0,A1,1.0,0.0,2.0,0.0
0,A2,1.0,0.0,2.0,0.0
0,B1,0.0,0.0,0.0,0.0
0,B2,0.0,1.0,0.0,2.0
0,B3,0.0,0.0,0.0,0.0
0,C1,0.0,0.0,0.0,0.0
0,C2,0.0,1.0,0.0,2.0
0,D1,0.0,0.0,0.0,0.0
0,D2,0.0,0.0,0.0,0.0
0,D3,0.0,0.0,0.0,0.0
0,E1,1.0,1.0,0.0,0.0
0,E2,1.0,1.0,0.0,0.0
1,A1,1.0,-0.0,2.0,-0.0
1,A2,0.8999999999999999,-0.0,1.7999999999999998,-0.0
1,B1,0.0,0.0,-0.0,-0.0
1,B2,0.0,0.0,-0.0,-0.0
1,B3,0.0,0.0,-0.0,-0.0
1,C1,0.0,-0.0,-0.0,-0.0
1,C2,-0.0,1.0,-0.0,2.0
1,D1,-0.0,0.5,-0.0,1.0
1,D2,-0.0,-0.0,-0.0,-0.0
1,D3,0.0,0.0,-0.0,-0.0
1,E1,-0.0,0.10000000000000003,-0.0,0.20000000000000007
1,E2,0.10000000000000009,0.3999999999999999,0.20000000000000018,0.7999999999999998
2,A1,1.0,-0.0,2.0,-0.0
2,A2,0.8999999999999999,-0.0,1.7999999999999998,-0.0
2,B1,-0.0,0.10000000000000009,-0.0,0.20000000000000018
2,B2,-0.0,0.0,-0.0,-0.0
2,B3,-0.0,0.3999999999999999,-0.0,0.7999999999999998
2,C1,0.0,0.0,0.0,0.0
2,C2,-0.0,1.0,-0.0,2.0
2,D1,0.0,0.0,-0.0,-0.0
2,D2,0.0,0.0,-0.0,-0.0
2,D3,0.0,0.0,-0.0,0.0
2,E1,-0.0,0.10000000000000003,-0.0,0.20000000000000007
2,E2,0.10000000000000009,0.3999999999999999,0.20000000000000018,0.7999999999999998
3,A1,0.7,0.3,1.4,0.6
3,A2,-0.0,0.3,-0.0,0.6
3,B1,-0.0,0.10000000000000009,-0.0,0.20000000000000018
3,B2,-0.0,-0.0,-0.0,-0.0
3,B3,-0.0,0.5,-0.0,1.0
3,C1,0.0,0.0,0.0,-0.0
3,C2,0.0,0.0,0.0,-0.0
3,D1,0.5,0.0,1.0,-0.0
3,D2,0.5,0.0,1.0,-0.0
3,D3,0.2,0.3,0.4,0.6
3,E1,-0.0,0.10000000000000003,-0.0,0.20000000000000007
3,E2,0.10000000000000009,0.3999999999999999,0.20000000000000018,0.7999999999999998
4,A1,0.0,0.0,-0.0,0.0
4,A2,0.0,0.0,-0.0,0.0
4,B1,0.2999999999999999,0.10000000000000009,0.5999999999999998,0.20000000000000018
4,B2,-0.0,0.0,-0.0,-0.0
4,B3,-0.0,0.29999999999999993,-0.0,0.5999999999999999
4,C1,-0.0,1.0,-0.0,2.0
4,C2,-0.0,0.5,-0.0,1.0
4,D1,0.5,-0.0,1.0,-0.0
4,D2,0.5,-0.0,1.0,-0.0
4,D3,0.2,-0.0,0.4,-0.0
4,E1,-0.0,0.10000000000000003,-0.0,0.20000000000000007
4,E2,0.5000000000000002,-0.0,1.0000000000000004,-0.0
5,A1,1.0,0.0,2.0,0.0
5,A2,1.0,0.0,2.0,0.0
5,B1,0.0,0.0,0.0,0.0
5,B2,0.0,0.0,0.0,0.0
5,B3,0.0,0.0,0.0,0.0
5,C1,0.0,1.0,0.0,2.0
5,C2,0.0,1.0,0.0,2.0
5,D1,0.0,0.0,0.0,0.0
5,D2,0.0,0.0,0.0,0.0
5,D3,0.0,0.0,0.0,0.0
5,E1,0.0,0.0,0.0,0.0
5,E2,0.0,0.0,0.0,0.0
