transition_p,from,to,service,count,move_cost
0,B1,E2,M,1.0,1
0,B1,E2,O,1.0,1
0,B2,C1,S,2.0,1
0,B3,D2,T,1.0,1
0,B3,E1,O,1.0,1
0,C1,D2,T,1.0,1
0,C1,D3,T,1.0,1
0,D2,E1,M,1.0,1
0,D3,D1,M,1.0,1
1,D1,B2,M,1.0,1
1,D1,B3,T,1.0,1
1,D2,B1,T,1.0,1
1,D2,E2,T,1.0,1
1,D3,B1,M,1.0,1
1,D3,E1,T,1.0,1
1,E1,B2,M,1.0,1
1,E2,B3,M,1.0,1
2,B1,D3,T,1.0,1
2,B3,D2,T,1.0,1
2,C1,D3,S,1.0,1
2,C1,E1,S,1.0,1
2,C2,B1,S,1.0,1
2,C2,B3,S,1.0,1
2,E1,D1,T,1.0,1
2,E2,D2,T,1.0,1
3,A1,D1,P,1.0,1
3,A1,E1,P,1.0,1
3,A2,B1,P,1.0,1
3,A2,B3,P,1.0,1
3,B1,C2,S,1.0,1
3,B3,C1,S,1.0,1
3,D3,C1,S,1.0,1
3,E1,C2,S,1.0,1
4,B1,A2,P,1.0,1
4,B3,A1,P,1.0,1
4,D1,A2,P,1.0,1
4,E1,A1,P,1.0,1
